classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,18.07,18.57,0.5,180.3201241,5.371146446,187.4949381,175.965194,14.43943243,7.934471959,15.8591681,1.084494379,0,0,-0.045039025,8.00E-05,0.508900227,0.139868903,654.0946541,175.1718286,91.9653302,63.33912151,61.32871387,29.97549154,-33.97213552,-63.98423454,-38.18179683,2.92339733,5.622739133,2.028497155,1.838731253,9.228554594,3.93204186,2.632189355,2.106815044,3.111073015,2.060960543,2.637428022,4.081959435,2.244813408,1.970189281,1.645760961,1.556919103,1.686382872,36.85794372
NFP,18.17,18.67,0.5,180.0677058,5.643317849,187.4949381,175.6107151,1.080571751,14.45053125,-6.597967848,1.240419199,0,0,-0.03748878,4.34E-05,0.508900227,0.13848448,643.9968617,179.646605,95.10048668,47.36285969,50.11476658,30.27491652,-26.44011092,-49.01618281,-27.09614536,3.842851008,2.781840567,0.223384114,-0.385056599,8.467571402,4.039782307,2.671668943,3.429139334,4.530913025,2.066122076,3.40786178,4.684851226,1.968571615,1.88089888,1.574334484,1.276240989,1.470132818,36.17597219
NFP,18.27,18.77,0.5,180.0705076,5.586995079,187.4949381,176.4229703,-19.28006171,5.103130698,-19.07620205,1.186273944,0,0,-0.011059534,5.84E-05,0.508900227,0.138447022,642.1376827,182.0570694,98.25716327,40.62352481,39.05233119,29.79470265,-17.21822518,-36.61487505,-18.37452496,7.344014346,2.342542214,-0.449368862,-1.702009243,8.086513503,4.060986212,2.983824694,3.450498937,4.395430108,1.985587002,3.824772229,4.828881828,1.720898962,1.863916863,1.596515364,1.406274152,1.539448203,35.47028497
NFP,18.37,18.87,0.5,178.4605637,6.137324673,187.4949381,174.8966477,-24.77281698,4.990259079,-15.36803112,1.333305402,0,0,0.00725923,3.44E-05,0.508900227,0.137162431,614.0582465,176.6966132,104.2998422,31.06609362,24.30537675,29.1231793,4.642063222,-12.79089273,-9.419790185,8.156110398,-2.148925787,-0.721945553,-1.372792718,7.621045698,4.157758161,2.852129113,3.11104896,3.589931677,2.082625944,3.408110563,4.316629554,2.086274714,1.844222421,1.467927543,1.412430205,1.560316947,82.73951132
NFP,18.47,18.97,0.5,176.8891044,5.437950472,182.4154347,174.8966477,-4.04919074,4.759621826,-15.92756972,1.196554472,0,0,0.006882708,3.48E-05,0.508900227,0.136498139,589.6246172,175.0779333,116.8020285,28.83252186,8.003751781,20.13256743,16.85434547,10.56237603,3.805470414,8.082557315,-6.883086673,-3.068189634,-8.195370017,7.019168952,4.337230816,2.572521523,3.001749102,2.930518406,2.546074075,2.044780085,1.909172923,1.936780271,1.822293045,1.292042974,1.50252362,1.438686565,76.45920038
NFP,18.57,19.07,0.5,174.5821694,4.677816928,180.9745825,174.8966477,1.662894924,3.039354108,-17.76942313,1.090507233,0,0,-0.029798953,2.16E-05,0.508900227,0.136293448,589.4142611,167.3327688,106.1203012,24.82781465,2.886775328,15.64218369,18.54011748,13.3733606,4.590024654,9.391966439,-3.827485524,-0.322915985,-6.897500945,7.58387332,5.069596386,4.258182848,3.060330022,3.056305848,2.978639511,1.925333108,1.94614007,1.995284739,1.674842866,1.258784156,1.69492587,1.793958321,71.07570996
NFP,18.67,19.17,0.5,176.9482961,9.088212514,185.2789364,175.0938618,12.11916101,4.521487508,-10.37697328,1.297195423,0,0,-0.026982966,3.07E-05,0.508900227,0.136262523,575.6379995,155.5976085,101.4976809,29.87000012,9.996018598,15.85938807,13.9641265,9.038403438,0.320389366,8.21068823,-2.760512852,1.304281131,-4.494514919,7.941735476,5.393751269,4.685719172,2.712086036,2.787028767,2.939393465,2.118868313,2.269131598,2.407002918,1.780341771,1.32240332,1.775736135,2.012111573,60.04673049
NFP,18.77,19.27,0.5,177.3213784,9.021444385,185.2789364,175.0938618,7.471711867,6.061679725,-22.43486929,1.223977826,0,0,0.017060736,3.71E-05,0.508900227,0.136198885,556.6202738,146.446572,108.1418597,43.14058154,18.05526439,15.16417401,11.10808187,7.321575565,-3.247599708,4.371491014,-5.694582306,-1.177050042,-3.254149611,7.204144991,4.820814865,5.075119149,3.799090216,3.485858554,2.864178671,2.053571537,2.389033199,2.630103487,1.812348117,1.295381649,1.739074818,2.002910934,76.25660957
NFP,18.87,19.37,0.5,176.900417,9.211606222,185.2789364,174.1731794,-7.566715996,7.874680869,-42.01346006,1.227405469,0,0,0.028211669,3.32E-05,0.508900227,0.136583856,550.9199504,143.2397379,114.8909904,57.69566717,25.6403373,12.62749421,4.198345902,0.247515708,-9.875289682,1.73893804,-4.188458386,0.386402273,-2.595269069,7.563597428,4.769514208,5.380316555,4.241465165,3.845242544,2.614575481,1.407543322,2.331740404,2.472628968,1.729624223,1.339220936,1.732437044,2.024978901,37.89901354
NFP,18.97,19.47,0.5,171.1565222,22.22600081,185.2789364,88.43476575,79.67950188,341.4625832,-37.72524004,3.524287864,0,0,0.01800153,4.29E-05,0.508900227,0.136559894,558.0111329,141.1066148,110.6276173,64.95309858,37.9980467,16.21188695,-1.80028668,-14.21796629,-24.29060994,-4.131560594,-1.508822769,6.88822047,5.506795787,7.463891745,4.373386704,5.287991143,4.105804015,3.283108933,2.347481232,1.531008722,2.418148943,2.002790208,1.154155469,1.265434145,1.506551452,1.963226269,34.83931923
