classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,19.85,20.29,0.44,107.7206297,5.530531039,114.5100785,104.6639221,9.264543624,15.26679729,3.115299491,1.808334635,0.99,0.3,0.248201907,0.007436294,0.448900227,0.150914202,772.4401349,234.6524025,83.15375521,35.94036485,49.23205739,29.76647702,-21.22884056,-20.0564524,-10.29105987,-15.59018106,-17.55019982,9.975873208,7.891024304,19.22957607,8.311120746,5.591841803,6.442552788,4.76513725,3.6256003,3.253462699,3.151563744,2.409655657,1.917693407,1.715098246,1.858012116,2.170178988,121.9102902
NFP,22.2,22.7,0.5,108.5068569,5.111101803,115.9518057,104.2873907,6.149871581,11.84210408,-12.34468036,1.067392669,0.13,0,0.266918548,0.011464007,0.508900227,0.197925939,768.9442099,275.0734869,139.0176097,33.6786222,-0.422106962,-11.41693006,-26.345658,-2.738875463,11.39084686,0.815584898,-18.17477844,-3.1186844,0.365685512,17.58558435,8.449704437,3.956587949,4.571629287,3.689140288,3.928039631,4.829295623,2.085628203,3.465350743,2.425414222,1.234348266,1.471638708,1.338484589,68.42331749
NFP,22.3,22.8,0.5,109.7519392,6.739023492,119.5354492,104.2873907,27.67735235,8.671862944,22.78255321,1.237236328,0,0,0.274854271,0.011161096,0.508900227,0.190863401,756.9935809,275.5075844,144.9522994,33.6329416,-5.547041981,-19.36448969,-23.70470755,6.980363878,15.67835878,0.71962906,-15.24719905,2.011865583,-0.769694972,17.19231826,8.50179109,4.213722066,4.559186188,4.123353904,4.396691023,4.695056285,1.355975937,3.500301626,2.231226691,1.284793622,1.131175071,1.386839156,74.56294991
NFP,22.4,22.9,0.5,113.3688838,7.992966425,125.1867535,104.2873907,54.58728199,5.150566999,51.85950181,1.208090895,0,0,0.056495405,0.01321471,0.508900227,0.186649406,741.9672069,269.2120052,149.0831064,44.01023363,-1.224510631,-28.13773966,-34.89157704,8.007294895,23.88587323,11.06491632,-9.371195633,1.664812023,-2.093082107,16.96971862,8.234566049,4.409768723,4.260102688,3.856516456,4.403787175,4.386422654,1.252229536,3.226814139,2.011788006,1.380732676,1.057707332,1.372740064,63.02078952
NFP,22.5,23,0.5,117.0764442,6.925009637,125.3265117,106.0132643,39.77367234,10.04447693,46.90702609,1.191500345,0,0,-0.343332391,0.011059028,0.508900227,0.185244043,744.3496632,272.2359091,147.571453,42.58179958,-3.031188728,-36.10173989,-44.20165672,2.118443053,25.71138141,17.24484958,-4.787962359,3.459564224,-3.262188847,16.72327447,8.108245076,4.422220403,4.024985692,3.743822664,3.653996681,3.770167717,1.587139989,3.067638922,1.555264178,1.53555203,1.134284433,1.408964109,42.60363115
FP,23.33,23.83,0.5,98.9790785,6.020755318,105.8416239,91.77544605,-35.76813472,3.500594015,-28.32281562,0.689026108,0.32,0.27,0.41078757,0.004799854,0.508900227,0.189009005,748.8332087,254.7046065,138.8695483,65.27380839,30.80489489,-14.65819187,-56.79250334,-37.79918512,-9.832006054,-14.15728185,-20.87257173,8.257343237,8.160997203,16.08917304,6.430976516,5.934666612,4.496967593,1.970235625,2.374932667,2.234756779,2.278157075,1.686277424,2.85664771,2.029965673,1.923004755,1.392781308,36.05817279
NFP,25.28,25.78,0.5,112.6060697,12.5503984,113.3457784,105.1179168,8.724912735,4.255992165,2.869653827,1.029341592,1.1,0,-0.021858485,0.000290757,0.508900227,0.142278477,635.1007672,177.4532174,119.2466473,84.41810874,61.07484278,26.08677551,-11.52835507,-9.080829357,-6.509659368,-11.44090389,-9.230125193,7.066254749,-8.411042185,12.98296403,5.677679083,3.872203071,1.963657787,1.822912453,1.7707789,2.135051637,2.434058919,1.437245776,2.294481536,1.116327573,1.535169613,1.336831828,38.29045774
NFP,25.38,25.88,0.5,107.5444251,3.526826881,112.3692296,105.1179168,-0.988879928,5.694710795,-8.687719825,0.99486302,0,0,-0.007516831,0.000472,0.508900227,0.146950214,674.5845512,191.131678,115.0998545,89.21538065,70.00829113,33.88197569,-16.55611567,-20.42460103,-6.888445145,-8.872306779,-13.3386415,2.437156327,-11.64416002,10.54444127,4.338061483,3.588373573,1.914162284,2.337583702,2.024716528,2.317188655,2.88655705,1.348571794,2.486126238,1.50809132,1.954022329,1.423260064,52.97753766
NFP,25.48,25.98,0.5,107.0613974,3.775789779,112.2919336,105.0368263,-13.4365902,3.132525059,-13.08407006,0.828883828,0,0,0.080982975,0.000349035,0.508900227,0.147432476,655.507484,180.699578,119.741242,97.93678795,78.19070168,43.37495934,-17.93604336,-34.27342948,-9.876871797,-3.934010999,-18.12062403,-4.836223101,-12.83286938,8.825199936,3.474653364,3.348380703,2.032272236,2.903975599,1.927256097,2.33118869,2.925698138,1.393068362,1.774525044,1.723568224,1.778659211,1.414132725,42.7151177
FP,25.58,26.08,0.5,105.4173801,5.403428495,112.3692296,97.15399705,-31.98571011,4.017178279,-54.95352783,1.088667503,0,0,0.055774657,0.00043803,0.508900227,0.147307472,636.3171285,172.0906385,122.1973616,105.3084713,85.05399094,45.32625207,-22.2637529,-39.23245974,-12.07437434,-5.432993775,-18.72194595,-6.971915545,-12.1359638,8.456539561,3.224967165,3.430250611,1.549751802,2.882787945,1.928146209,2.374351415,2.814210475,1.426612536,1.860238252,1.766472027,1.795889397,1.395930452,36.85124841
