classification,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
NFP,0.14,81.00161805,7.2345991960000005,87.61692312,83.04303077,-30.47286219,2.502099502,-75.30927869,1.44207511,0.21,0.33,-0.1915443,0.000395958,0.155566893,0.056945907000000004,755.5054277,208.9940159,92.70865128,114.32271259999999,146.7790872,71.95343002,-48.93629155,-75.14813546,-30.30131311,-4.035937548,-28.85003299,-12.292875800000001,-2.067890657,11.71937002,4.478838197,3.799789865,2.521766967,2.169691751,2.466143079,2.282555963,2.3278830740000003,2.046610061,2.168588234,2.373200722,2.726664172,2.5904916140000003,35.70219355
NFP,0.36,109.7365395,7.115093679,120.8374719,107.5119279,-51.58356711,1.6663548680000002,-29.82187891,0.9835761540000001,0.21,0.38,-0.05979827,0.00010341,0.37112244899999997,0.10114971,594.0915037000001,162.7024553,110.4461513,47.08682798,22.7601372,5.294327726000001,-5.76474509,-9.092243212,-30.83968489,-34.08745046,-32.18435145,-12.35690008,-5.620018148,14.70596199,7.89875339,5.984301106,4.247814298,3.2247442110000004,2.701043285,2.4434945580000003,2.097541836,2.2387331880000003,2.150647591,2.4016713469999997,2.3011815490000003,1.953489425,90.10448749
NFP,0.5,103.9976187,4.712046276000001,111.9006844,101.5828869,24.21844173,2.6859225939999996,22.27460191,0.558262504,0.0,0.0,0.08067581,0.000209915,0.508900227,0.143755078,596.3662492000001,198.32472009999998,165.1396947,75.37078459,14.75279067,-17.94124307,-34.30952482,-24.35532598,-10.16317529,9.11422783,-4.019430621000001,-7.8412365710000005,-9.632652355,8.738048143,4.754927028,2.525205738,3.73411196,4.211146328,3.700667675,2.9607065710000002,2.112106729,1.312194815,1.90257669,1.247732035,1.091938439,1.4824223269999999,38.47432153
NFP,0.5,111.7921736,7.97947856,120.69205490000002,104.4652845,46.07780902,8.606638409,-2.038666793,1.032142441,0.0,0.0,0.15617394199999998,0.002395402,0.508900227,0.162535014,715.7771055,231.2430588,113.0520281,32.80244282,19.45007714,5.132174647,-29.04372281,-25.50650471,-20.01466472,-28.30026953,-43.46554111,-20.205989399999996,-10.00623569,12.10749925,5.963358900000001,4.062744105,3.106336549,2.89556511,2.8966277999999996,4.155157715,1.7654508530000002,2.201291926,2.536604595,1.85694076,2.135574575,2.403749849,130.2071094
NFP,0.5,123.95263600000001,12.92425816,141.626304,109.0836317,-3.506090448,132.99516210000002,-25.89080693,1.8639457030000002,0.0,0.0,0.15715491,0.006721947,0.508900227,0.197587762,856.6941294,291.3087312,87.82723684,11.81790733,20.58067678,5.222367589,-24.22454009,-16.1016509,-8.941465262000001,-17.22156408,-38.96282872,-15.49085384,5.699888592000001,11.1275549,5.159916194,4.506726343,4.481654655,3.223299485,2.904223431,2.421748673,1.8243175219999999,1.8002405780000001,2.145594095,1.8574332669999998,1.6660477880000002,1.701127104,95.5555375
NFP,0.5,106.95375220000001,5.482235299,116.7283988,103.0873848,15.10954578,6.927754472999999,-10.2123008,1.237559882,0.0,0.2,-0.008593349,0.000146586,0.508900227,0.13951029999999998,600.5790693,185.6122782,139.0345418,56.03714562,24.29880993,7.911197003,-11.57800039,-10.43657441,-21.9542227,-21.50965363,-25.04602894,-9.325067996,-8.132628901,8.524860894,5.416628007999999,2.904184339,2.169860027,3.744108667,3.780772481,2.6148766830000003,1.4976954630000001,1.935847546,2.1411810069999997,1.5769644280000001,1.272954747,1.6632646709999999,81.64344703
NFP,0.5,108.9215105,4.00259972,113.2596733,108.21497190000001,-8.446443362,1.585423553,-4.089153012,0.772820411,0.0,0.0,-0.161850841,0.000280914,0.508900227,0.145518935,627.9067349,189.3148166,108.821653,30.34897447,16.77188191,11.19872693,-6.79531832,-16.05798441,-23.14676911,-14.39638433,-20.58860167,-4.129106494,6.654034939,13.21569567,8.82279137,3.0161809010000002,3.966795264,4.250650633,3.586854461,3.162842724,2.180995271,1.901217509,2.191459004,1.3521325569999998,1.274101126,2.138036944,48.68036509
NFP,0.5,123.6417574,17.39341045,146.8728915,109.01888999999998,-96.30152848,39.64142636,-56.83964538,1.30621326,0.0,0.0,0.024136841000000003,0.0007031639999999999,0.508900227,0.147549873,651.0707655,215.0885127,126.7698996,33.77729749,12.45348855,7.074415598,-8.8397494,-17.17036382,-23.2217693,-8.491876916,-19.91613819,-9.424665476,6.5672705239999996,11.14878797,5.989849917000001,3.701972666,4.6818795060000005,4.0740658110000005,3.599852682,3.14145742,2.247488269,1.5459297630000002,2.1121329419999997,1.4201068430000001,1.156605221,2.147458656,33.47359471
NFP,0.5,108.9624617,4.47379573,114.58219890000001,103.83215890000001,-0.69816063,10.45263707,-5.751040867,0.880448095,0.0,0.0,-0.010282501999999999,0.000198331,0.508900227,0.140935549,575.930404,165.1030294,129.6325194,79.77885148,66.21628165,35.88605553,-6.434119937999999,-24.25165893,-34.34523737,-26.06345535,-19.027281,-9.927086746,-21.7974891,7.808715316,4.087717126,3.308436837,2.6693228380000003,2.8033070639999997,2.679527799,2.0999083880000002,2.016076338,2.055801651,2.0506907659999998,1.4062159859999999,1.928029064,1.355693434,62.7420644
NFP,0.5,115.9391831,5.097151759,121.44862020000001,112.84432679999999,-0.622004662,6.760800756,-2.69572397,0.986991293,0.0,0.0,-0.41330444,0.008363525,0.508900227,0.18025617300000002,741.1294552999999,255.84053880000002,116.93800890000001,6.1786926410000005,-10.44608025,-13.23253505,-29.530755699999997,-30.48683035,-27.93017138,-14.79503268,-18.23929262,-7.549385321,-11.28622927,12.55724498,7.274944613,3.42578553,4.087029676,5.446404847999999,4.209775323,2.949968394,3.2125039,3.502955388,3.147217255,2.056126847,2.1110652169999997,1.580964974,58.37159608
